Rank,Company,Description,2011 Revenue,Percent change,2011 net income,2011 total return,Market cap,Employment,Top executive,City,Web site,Ticker
1,Exxon Mobil Corp.,Integrated oil company.,$433526000000,26.92%,$41060000000,18.7%,$408777625000,82100,Rex W. Tillerson,Irving,www.exxonmobil.com,XOM
2,AT&T Inc.,Integrated telephone company.,$126723000000,1.97%,$3944000000,9%,$185154906300,252330,Randall L. Stephenson,Dallas,www.att.com,T
3,AMR Corp.,Owns American Airlines and American Eagle.,$23979000000,8.16%,-$1979000000,-95.5%,$164953600,80100,Thomas W. Horton,Fort Worth,www.aa.com,AAMRQ
4,Fluor Corp.,"Design, engineering, procurement and construction services.",$23381399000,12.1%,$593728000,-23.6%,$10146963900,43087,David Thomas Seaton,Irving,www.fluor.com,FLR
5,Kimberly-Clark Corp.,Manufactures personal care and health care products.,$20846000000,5.6%,$1591000000,21.6%,$29064054700,57000,Thomas J. Falk,Dallas,www.kimberly-clark.com,KMB
6,J.C. Penney Co.,Operates U.S. department store chain.,$17260000000,-1.7%,-$152000000,11.5%,$7734334500,156000,Ronald B. Johnson,Plano,www.jcpenney.com,JCP
7,Southwest Airlines Co.,Domestic airline.,$15658000000,29.4%,$178000000,-33.9%,$6368747100,45392,Gary C. Kelly,Dallas,www.southwest.com,LUV
8,HollyFrontier Corp.,Oil refining and marketing.,$15439528000,85.5%,$1023397000,20.6%,$6700117700,2382,Michael C. Jennings,Dallas,hollyfrontier.com,HFC
9,Texas Instruments Inc.,Manufactures electronic components/semiconductors.,$13735000000,-1.7%,$2236000000,-8.9%,$38482492200,34759,Richard K. Templeton,Dallas,www.ti.com,TXN
10,Dean Foods Co.,"Manufactures, markets and distributes dairy products.",$13055493000,7.7%,-$1575621000,26.7%,$2231090800,24066,Gregg L. Engles,Dallas,www.deanfoods.com,DF
11,Tenet Healthcare Corp.,Operates hospitals.,$9584000000,4.1%,$82000000,-23.3%,$2177065900,57705,Trevor Fetter,Dallas,www.tenethealth.com,THC
12,GameStop Corp.,Video game retailer.,$9550500000,5.2%,$339900000,5.46%,$2926143800,17000,Julian Paul Raines,Grapevine,www.gamestop.com,GME
13,Energy Transfer Equity LP,Owns equity interest in Energy Transfer Partners.,$8240703000,24.9%,$309811000,10.2%,$8985830100,2477,John W. McRreynolds,Dallas,www.energytransfer.com,ETE
14,Commercial Metals Co.,Manufactures steel and metal products.,$7918430000,25.6%,-$129617000,-14.4%,$1713084100,11422,Joseph Alvarado,Irving,www.cmc.com,CMC
15,Alon USA Energy Inc.,"Refines and markets oil, operates pipelines and convenience stores.",$7186257000,78.3%,$42507000,48%,$510492300,2824,W. Paul Eisman,Dallas,www.alonusa.com,ALJ
16,Energy Transfer Partners LP,Natural gas gathering and processing and retail propane distribution.,$6850440000,16.4%,$668974000,-4.9%,$11031835000,1946,Kelcy L. Warren,Dallas,www.energytransfer.com,ETP
17,Celanese Corp.,Industrial chemicals processor.,$6763000000,14.3%,$607000000,8.1%,$7234627000,7600,Mark C. Rohr,Dallas,www.celanese.com,CE
